"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Weight velocity (kg/month) Month 3 to Year 1, Q1 vs. Q2"," "," "," ","Weight velocity (kg/month) Month 3 to Year 1, Q1 vs. Q3"," "," "," ","Weight velocity (kg/month) Month 3 to Year 1, Q1 vs. Q4"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 1","415","1.44","1.44","1.46","1.42","0 (-0.07, 0.06)","0.9","0.03 (-0.03, 0.09)","0.4","0.02 (-0.05, 0.1)","0.54","0.05 (-0.02, 0.12)","0.16","-0.03 (-0.09, 0.04)","0.48","0.03 (-0.04, 0.1)","0.35"
"T/S Ratio Year 2","392","1.46","1.46","1.47","1.42","0 (-0.08, 0.07)","0.96","0.05 (-0.01, 0.11)","0.09","0.01 (-0.07, 0.08)","0.83","0.13 (0.06, 0.2)","0","-0.04 (-0.11, 0.03)","0.26","-0.02 (-0.12, 0.09)","0.75"
