"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Change in WLZ between Month 3 to Year 2, Q1 vs. Q2"," "," "," ","Change in WLZ between Month 3 to Year 2, Q1 vs. Q3"," "," "," ","Change in WLZ between Month 3 to Year 2, Q1 vs. Q4"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 2","421","1.42","1.46","1.46","1.46","0.04 (-0.03, 0.11)","0.27","0.01 (-0.06, 0.07)","0.87","0.03 (-0.03, 0.1)","0.32","0 (-0.06, 0.06)","0.97","0.04 (-0.03, 0.1)","0.28","0.03 (-0.03, 0.08)","0.35"
