"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Change in LAZ between Month 3 to Year 1, Q1 vs. Q2"," "," "," ","Change in LAZ between Month 3 to Year 1, Q1 vs. Q3"," "," "," ","Change in LAZ between Month 3 to Year 1, Q1 vs. Q4"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 1","409","1.41","1.43","1.43","1.49","0.02 (-0.05, 0.09)","0.55","0.01 (-0.05, 0.07)","0.86","0.02 (-0.03, 0.08)","0.41","0.02 (-0.04, 0.08)","0.49","0.08 (0.02, 0.15)","0.01","0.08 (0.01, 0.14)","0.02"
"T/S Ratio Year 2","388","1.41","1.46","1.47","1.46","0.05 (-0.02, 0.12)","0.19","0.03 (-0.04, 0.09)","0.4","0.05 (-0.02, 0.12)","0.13","0.04 (-0.02, 0.11)","0.2","0.05 (-0.02, 0.12)","0.2","0.04 (-0.03, 0.1)","0.25"
