"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Length velocity (cm/month) Month 3 to Year 2, Q1 vs. Q2"," "," "," ","Length velocity (cm/month) Month 3 to Year 2, Q1 vs. Q3"," "," "," ","Length velocity (cm/month) Month 3 to Year 2, Q1 vs. Q4"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 2","424","1.44","1.47","1.46","1.44","0.03 (-0.04, 0.1)","0.34","0.06 (0, 0.13)","0.07","0.03 (-0.04, 0.09)","0.4","0.07 (0.01, 0.13)","0.02","0 (-0.06, 0.07)","0.91","0.09 (0.02, 0.15)","0.01"
