"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Weight velocity (kg/month) Month 3 to Year 1, Q1 vs. Q2"," "," "," ","Weight velocity (kg/month) Month 3 to Year 1, Q1 vs. Q3"," "," "," ","Weight velocity (kg/month) Month 3 to Year 1, Q1 vs. Q4"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 1"," ","1.44","1.44","1.47","1.41","0 (-0.06, 0.07)","0.98","0.03 (-0.03, 0.09)","0.34","0.03 (-0.05, 0.1)","0.48","0.06 (-0.01, 0.13)","0.11","-0.02 (-0.09, 0.04)","0.48","0.03 (-0.04, 0.1)","0.39"
"T/S Ratio Year 2"," ","1.46","1.46","1.46","1.42","0 (-0.08, 0.07)","0.95","0.05 (-0.01, 0.11)","0.08","0 (-0.07, 0.08)","0.93","0.13 (0.06, 0.21)","0","-0.04 (-0.11, 0.03)","0.29","-0.01 (-0.12, 0.09)","0.78"
