"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Change in WAZ between Month 3 to Year 2, Q1 vs. Q2"," "," "," ","Change in WAZ between Month 3 to Year 2, Q1 vs. Q3"," "," "," ","Change in WAZ between Month 3 to Year 2, Q1 vs. Q4"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 2"," ","1.42","1.47","1.5","1.42","0.05 (-0.02, 0.12)","0.16","0.04 (-0.02, 0.11)","0.21","0.07 (0.01, 0.14)","0.03","0.08 (0.01, 0.15)","0.02","0 (-0.07, 0.06)","0.88","0 (-0.06, 0.06)","0.9"
